date,title,budget ,domestic_gross,world_gross
2002-11-22,The Emperors Club,12500000,14060950,16193713
2002-11-22,The Quiet American,20000000,12987647,26348203
2002-11-27,Treasure Planet,100000000,38120554,91800000
2002-11-27,Solaris,47000000,14970038,14970038
2002-11-27,Wes Craven Presents: They,17000000,12840842,16140842
2002-12-06,Analyze That,60000000,32122249,54994757
2002-12-06,Adaptation,18500000,22498520,32531759
2002-12-06,Empire,3500000,17504595,18495444
2002-12-13,Maid in Manhattan,55000000,93932896,163838217
2002-12-13,About Schmidt,30000000,65005217,107054484
2002-12-13,Drumline,20000000,56398162,56398162
2002-12-13,Star Trek: Nemesis,60000000,43254409,67312826
2002-12-18,The Lord of the Rings: The Two Towers,94000000,342548984,934699645
2002-12-19,Antwone Fisher,12500000,21078145,23367586
2002-12-19,25th Hour,4500000,13084595,25344490
2002-12-20,Two Weeks Notice,60000000,93354918,199043309
2002-12-20,Gangs of New York,97000000,77730500,183124621
2002-12-20,The Wild Thornberrys Movie,25000000,40108697,60694737
2002-12-20,Narc,7500000,10465659,11843260
2002-12-25,Catch Me if You Can,52000000,164606800,355612291
2002-12-27,Chicago,30000000,170687518,306770545
2002-12-27,The Hours,25000000,41675994,97030468
2002-12-27,The Pianist,35000000,32519322,111854182
2002-12-31,Confessions of a Dangerous Mind,29000000,16007718,33013805
2003-01-10,Just Married,19000000,56127162,101564935
2003-01-17,Kangaroo Jack,60000000,66723216,90723216
2003-01-17,A Guy Thing,20000000,15543862,17430594
2003-01-24,Darkness Falls,7000000,32539681,47289758
